["🇦🇩", " emoji "],
["🇮🇳", " emoji "],
["🇮🇴", " emoji "],
["🇮🇶", " emoji "],
["🇮🇷", " emoji "],
["🇮🇸", " emoji "],
["🇮🇹", " emoji "],
["🇯🇪", " emoji "],
["🇯🇲", " emoji "],
["🇯🇴", " emoji "],
["🇯🇵", " emoji "],
["🇰🇪", " emoji "],
["🇰🇬", " emoji "],
["🇰🇭", " emoji "],
["🇰🇮", " emoji "],
["🇰🇲", " emoji "],
["🇰🇳", " emoji "],
["🇰🇵", " emoji "],
["🇰 🇷", " emoji "],
["🇰🇼", " emoji "],
["🇰🇾", " emoji "],
["🇰🇿", " emoji "],
["🇱🇦", " emoji "],
["🇱🇧", " emoji "],
["🇱🇨", " emoji "],
["🇱🇮", " emoji "],
["🇱🇰", " emoji "],
["🇱🇷", " emoji "],
["🇱🇸", " emoji "],
["🇱🇹", " emoji "],
["🇱🇺", " emoji "],
["🇱🇻", " emoji "],
["🇱🇾", " emoji "],
["🇲🇦", " emoji "],
["🇲🇨", " emoji "],
["🇲 🇩", " emoji "],
["🇲🇪", " emoji "],
["🇲🇫", " emoji "],
["🇲🇬", " emoji "],
["🇲🇭", " emoji "],
["🇲🇰", " emoji "],
["🇲🇱", " emoji "],
["🇲🇲", " emoji "],
["🇲🇳", " emoji "],
["🇲🇴", " emoji "],
["🇲🇵", " emoji "],
["🇲🇶", " emoji "],
["🇲🇷", " emoji "],
["🇲🇸", " emoji "],
["🇲🇹", " emoji "],
["🇲🇺", " emoji "],
["🇲🇻", " emoji "],
["🇲🇼", " emoji "],
["🇲🇽", " emoji "],
["🇲🇾", " emoji "],
["🇲🇿", " emoji "],
["🇳🇦", " emoji "],
["🇳🇨", " emoji "],
["🇳🇪", " emoji "],
["🇳🇫", " emoji "],
["🇳🇬", " emoji "],
["🇳🇮", " emoji "],
["🇳🇱", " emoji "],
["🇳🇴", " emoji "],
["🇳🇵", " emoji "],
["🇳 🇷", " emoji "],
["🇳🇺", " emoji "],
["🇳🇿", " emoji "],
["🇴🇲", " emoji "],
["🇵🇦", " emoji "],
["🇵🇪", " emoji "],
["🇵🇫", " emoji "],
["🇵🇬", " emoji "],
["🇵🇭", " emoji "],
["🇵🇰", " emoji "],
["🇵🇱", " emoji "],
["🇵🇲", " emoji "],
["🇵🇳", " emoji "],
["🇵🇷", " emoji "],
["🇵🇸", " emoji "],
["🇵🇹", " emoji "],
["🇵🇼", " emoji "],
["🇵🇾", " emoji "],
["🇶🇦", " emoji "],
["🇷🇪", " emoji "],
["🇷🇴", " emoji "],
["🇷🇸", " emoji "],
["🇷 🇺", " emoji "],
["🇷🇼", " emoji "],
["🇸 🇦", " emoji "],
["🇸🇧", " emoji "],
["🇸 🇨", " emoji "],
["🇸🇩", " emoji "],
["🇸🇪", " emoji "],
["🇸🇬", " emoji "],
["🇸🇭", " emoji "],
["🇸🇮", " emoji "],
["🇸🇯", " emoji "],
["🇸🇰", " emoji "],
["🇸🇱", " emoji "],
["🇸🇲", " emoji "],
["🇸🇳", " emoji "],
["🇸🇴", " emoji "],
["🇸🇷", " emoji "],
["🇸🇸", " emoji "],
["🇸🇹", " emoji "],
["🇸🇻", " emoji "],
["🇸🇽", " emoji "],
["🇸🇾", " emoji "],
["🇸🇿", " emoji "],
["🇹🇨", " emoji "],
["🇹🇩", " emoji "],
["🇹🇫", " emoji "],
["🇹🇬", " emoji "],
["🇹🇭", " emoji "],
["🇹🇯", " emoji "],
["🇹🇰", " emoji "],
["🇹🇱", " emoji "],
["🇹🇲", " emoji "],
["🇹🇳", " emoji "],
["🇹🇴", " emoji "],
["🇹🇷", " emoji "],
["🇹🇹", " emoji "],
["🇹🇻", " emoji "],
["🇹🇼", " emoji "],
["🇹🇿", " emoji "],
["🇺🇦", " emoji "],
["🇺🇬", " emoji "],
["🇺🇲", " emoji "],
["🇺 🇸", " emoji "],
["🇺 🇾", " emoji "],
["🇺🇿", " emoji "],
["🇻🇦", " emoji "],
["🇻🇨", " emoji "],
["🇻🇪", " emoji "],
["🇻🇬", " emoji "],
["🇻🇮", " emoji "],
["🇻🇳", " emoji "],
["🇻🇺", " emoji "],
["🇼🇫", " emoji "],
["🇼🇸", " emoji "],
["🇽🇰", " emoji "],
["🇾🇪", " emoji "],
["🇾🇹", " emoji "],
["🇿🇦", " emoji "],
["🇿🇲", " emoji "],
["🇿🇼", " emoji "],
["🀄", " emoji "],
["🃏", " emoji "],
["🅰", " emoji "],
["🅱", " emoji "],
["🅾", " emoji "],
["🅿", " emoji "],
["🆎", " emoji "],
["🆑", " emoji "],
["🆒", " emoji "],
["🆓", " emoji "],
["🆔", " emoji "],
["🆕", " emoji "],
["🆖", " emoji "],
["🆗", " emoji "],
["🆘", " emoji "],
["🆙", " emoji "],
["🆚", " emoji "],
["🇪", " emoji "],
["🇮", " emoji "],
["🇽", " emoji "],
["🈁", " emoji "],
["🈂", " emoji "],
["🈚", " emoji "],
["🈯", " emoji "],
["🈲", " emoji "],
["🈳", " emoji "],
["🈴", " emoji "],
["🈵", " emoji "],
["🈶", " emoji "],
["🈷", " emoji "],
["🈸", " emoji "],
["🈹", " emoji "],
["🈺", " emoji "],
["🉐", " emoji "],
["🉑", " emoji "],
["🌀", " emoji "],
["🌁", " emoji "],
["🌂", " emoji "],
["🌃", " emoji "],
["🌄", " emoji "],
["🌅", " emoji "],
["🌆", " emoji "],
["🌇", " emoji "],
["🌈", " emoji "],
["🌉", " emoji "],
["🌊", " emoji "],
["🌋", " emoji "],
["🌌", " emoji "],
["🌍", " emoji "],
["🌎", " emoji "],
["🌏", " emoji "],
["🌐", " emoji "],
["🌑", " emoji "],
["🌒", " emoji "],
["🌓", " emoji "],
["🌔", " emoji "],
["🌕", " emoji "],
["🌖", " emoji "],
["🌗", " emoji "],
["🌘", " emoji "],
["🌙", " emoji "],
["🌚", " emoji "],
["🌛", " emoji "],
["🌜", " emoji "],
["🌝", " emoji "],
["🌞", " emoji "],
["🌟", " emoji "],
["🌠", " emoji "],
["🌡", " emoji "],
["🌤", " emoji "],
["🌥", " emoji "],
["🌦", " emoji "],
["🌧", " emoji "],
["🌨", " emoji "],
["🌩", " emoji "],
["🌪", " emoji "],
["🌫", " emoji "],
["🌬", " emoji "],
["🌭", " emoji "],
["🌮", " emoji "],
["🌯", " emoji "],
["🌰", " emoji "],
["🌱", " emoji "],
["🌲", " emoji "],
["🌳", " emoji "],
["🌴", " emoji "],
["🌵", " emoji "],
["🌶", " emoji "],
["🌷", " emoji "],
["🌸", " emoji "],
["🌹", " emoji "],
["🌺", " emoji "],
["🌻", " emoji "],
["🌼", " emoji "],
["🌽", " emoji "],
["🌾", " emoji "],
["🌿", " emoji "],
["🍀", " emoji "],
["🍁", " emoji "],
["🍂", " emoji "],
["🍃", " emoji "],
["🍄", " emoji "],
["🍅", " emoji "],
["🍆", " emoji "],
["🍇", " emoji "],
["🍈", " emoji "],
["🍉", " emoji "],
["🍊", " emoji "],
["🍋", " emoji "],
["🍌", " emoji "],
["🍍", " emoji "],
["🍎", " emoji "],
["🍏", " emoji "],
["🍐", " emoji "],
["🍑", " emoji "],
["🍒", " emoji "],
["🍓", " emoji "],
["🍔", " emoji "],
["🍕", " emoji "],
["🍖", " emoji "],
["🍗", " emoji "],
["🍘", " emoji "],
["🍙", " emoji "],
["🍚", " emoji "],
["🍛", " emoji "],
["🍜", " emoji "],
["🍝", " emoji "],
["🍞", " emoji "],
["🍟", " emoji "],
["🍠", " emoji "],
["🍡", " emoji "],
["🍢", " emoji "],
["🍣", " emoji "],
["🍤", " emoji "],
["🍥", " emoji "],
["🍦", " emoji "],
["🍧", " emoji "],
["🍨", " emoji "],
["🍩", " emoji "],
["🍪", " emoji "],
["🍫", " emoji "],
["🍬", " emoji "],
["🍭", " emoji "],
["🍮", " emoji "],
["🍯", " emoji "],
["🍰", " emoji "],
["🍱", " emoji "],
["🍲", " emoji "],
["🍳", " emoji "],
["🍴", " emoji "],
["🍵", " emoji "],
["🍶", " emoji "],
["🍷", " emoji "],
["🍸", " emoji "],
["🍹", " emoji "],
["🍺", " emoji "],
["🍻", " emoji "],
["🍼", " emoji "],
["🍽", " emoji "],
["🍾", " emoji "],
["🍿", " emoji "],
["🎀", " emoji "],
["🎁", " XEMOJI WRAPPEDGIFT "],
["🎂", " emoji "],
["🎃", " emoji "],
["🎄", " emoji "],
["🎅", " emoji "],
["🎆", " emoji "],
["🎇", " emoji "],
["🎈", " emoji "],
["🎉", " emoji "],
["🎊", " emoji "],
["🎋", " emoji "],
["🎌", " emoji "],
["🎍", " emoji "],
["🎎", " emoji "],
["🎏", " emoji "],
["🎐", " emoji "],
["🎑", " emoji "],
["🎒", " emoji "],
["🎓", " emoji "],
["🎖", " emoji "],
["🎗", " emoji "],
["🎙", " emoji "],
["🎚", " emoji "],
["🎛", " emoji "],
["🎞", " emoji "],
["🎟", " emoji "],
["🎠", " emoji "],
["🎡", " emoji "],
["🎢", " emoji "],
["🎣", " emoji "],
["🎤", " emoji "],
["🎥", " emoji "],
["🎦", " emoji "],
["🎧", " emoji "],
["🎨", " emoji "],
["🎩", " emoji "],
["🎪", " emoji "],
["🎫", " emoji "],
["🎬", " emoji "],
["🎭", " emoji "],
["🎮", " emoji "],
["🎯", " emoji "],
["🎰", " emoji "],
["🎱", " emoji "],
["🎲", " emoji "],
["🎳", " emoji "],
["🎴", " emoji "],
["🎵", " emoji "],
["🎶", " emoji "],
["🎷", " emoji "],
["🎸", " emoji "],
["🎹", " emoji "],
["🎺", " emoji "],
["🎻", " emoji "],
["🎼", " emoji "],
["🎽", " emoji "],
["🎾", " emoji "],
["🎿", " emoji "],
["🏀", " emoji "],
["🏁", " emoji "],
["🏂", " emoji "],
["🏃", " emoji "],
["🏄", " emoji "],
["🏅", " emoji "],
["🏆", " emoji "],
["🏇", " emoji "],
["🏈", " emoji "],
["🏉", " emoji "],
["🏊", " emoji "],
["🏋", " emoji "],
["🏌", " emoji "],
["🏍", " emoji "],
["🏎", " emoji "],
["🏏", " emoji "],
["🏐", " emoji "],
["🏑", " emoji "],
["🏒", " emoji "],
["🏓", " emoji "],
["🏔", " emoji "],
["🏕", " emoji "],
["🏖", " emoji "],
["🏗", " emoji "],
["🏘", " emoji "],
["🏙", " emoji "],
["🏚", " emoji "],
["🏛", " emoji "],
["🏜", " emoji "],
["🏝", " emoji "],
["🏞", " emoji "],
["🏟", " emoji "],
["🏠", " emoji "],
["🏡", " emoji "],
["🏢", " emoji "],
["🏣", " emoji "],
["🏤", " emoji "],
["🏥", " emoji "],
["🏦", " emoji "],
["🏧", " emoji "],
["🏨", " emoji "],
["🏩", " emoji "],
["🏪", " emoji "],
["🏫", " emoji "],
["🏬", " emoji "],
["🏭", " emoji "],
["🏮", " emoji "],
["🏯", " emoji "],
["🏰", " emoji "],
["🏳", " emoji "],
["🏴", " emoji "],
["🏵", " emoji "],
["🏷", " emoji "],
["🏸", " emoji "],
["🏹", " emoji "],
["🏺", " emoji "],
["🐀", " emoji "],
["🐁", " emoji "],
["🐂", " emoji "],
["🐃", " emoji "],
["🐄", " emoji "],
["🐅", " emoji "],
["🐆", " emoji "],
["🐇", " emoji "],
["🐈", " emoji "],
["🐉", " emoji "],
["🐊", " emoji "],
["🐋", " emoji "],
["🐌", " emoji "],
["🐍", " emoji "],
["🐎", " emoji "],
["🐏", " emoji "],
["🐐", " emoji "],
["🐑", " emoji "],
["🐒", " emoji "],
["🐓", " emoji "],
["🐔", " emoji "],
["🐕", " emoji "],
["🐖", " emoji "],
["🐗", " emoji "],
["🐘", " emoji "],
["🐙", " emoji "],
["🐚", " emoji "],
["🐛", " emoji "],
["🐜", " emoji "],
["🐝", " emoji "],
["🐞", " emoji "],
["🐟", " emoji "],
["🐠", " emoji "],
["🐡", " emoji "],
["🐢", " emoji "],
["🐣", " emoji "],
["🐤", " emoji "],
["🐥", " emoji "],
["🐦", " emoji "],
["🐧", " emoji "],
["🐨", " emoji "],
["🐩", " emoji "],
["🐪", " emoji "],
["🐫", " emoji "],
["🐬", " emoji "],
["🐭", " emoji "],
["🐮", " emoji "],
["🐯", " emoji "],
["🐰", " emoji "],
["🐱", " emoji "],
["🐲", " emoji "],
["🐳", " emoji "],
["🐴", " emoji "],
["🐵", " emoji "],
["🐶", " emoji "],
["🐷", " emoji "],
["🐸", " emoji "],
["🐹", " emoji "],
["🐺", " emoji "],
["🐻", " emoji "],
["🐼", " emoji "],
["🐽", " emoji "],
["🐾", " emoji "],
["🐿", " emoji "],
["👀", " emoji "],
["👁", " emoji "],
["👂", " emoji "],
["👃", " emoji "],
["👄", " emoji "],
["👅", " emoji "],
["👆", " emoji "],
["👇", " emoji "],
["👈", " emoji "],
["👉", " emoji "],
["👊", " emoji "],
["👋", " emoji "],
["👌", " emoji "],
["👍", " emoji "],
["👎", " XEMOJI THUMBSDOWN "],
["👏", " emoji "],
["👐", " emoji "],
["👑", " emoji "],
["👒", " emoji "],
["👓", " emoji "],
["👔", " emoji "],
["👕", " emoji "],
["👖", " emoji "],
["👗", " emoji "],
["👘", " emoji "],
["👙", " emoji "],
["👚", " emoji "],
["👛", " emoji "],
["👜", " emoji "],
["👝", " emoji "],
["👞", " emoji "],
["👟", " emoji "],
["👠", " emoji "],
["👡", " emoji "],
["👢", " emoji "],
["👣", " emoji "],
["👤", " emoji "],
["👥", " emoji "],
["👦", " emoji "],
["👧", " emoji "],
["👨", " emoji "],
["👩", " emoji "],
["👪", " emoji "],
["👫", " emoji "],
["👬", " emoji "],
["👭", " emoji "],
["👮", " emoji "],
["👯", " emoji "],
["👰", " emoji "],
["👱", " emoji "],
["👲", " emoji "],
["👳", " emoji "],
["👴", " emoji "],
["👵", " emoji "],
["👶", " emoji "],
["👷", " emoji "],
["👸", " emoji "],
["👹", " emoji "],
["👺", " emoji "],
["👻", " emoji "],
["👼", " emoji "],
["👽", " emoji "],
["👾", " emoji "],
["👿", " emoji "],
["💀", " emoji "],
["💁", " emoji "],
["💂", " emoji "],
["💃", " emoji "],
["💄", " emoji "],
["💅", " emoji "],
["💆", " emoji "],
["💇", " emoji "],
["💈", " emoji "],
["💉", " emoji "],
["💊", " emoji "],
["💋", " emoji "],
["💌", " emoji "],
["💍", " emoji "],
["💎", " emoji "],
["💏", " emoji "],
["💐", " emoji "],
["💑", " emoji "],
["💒", " emoji "],
["💓", " emoji "],
["💔", " emoji "],
["💕", " emoji "],
["💖", " emoji "],
["💗", " emoji "],
["💘", " emoji "],
["💙", " emoji "],
["💚", " emoji "],
["💛", " emoji "],
["💜", " emoji "],
["💝", " emoji "],
["💞", " emoji "],
["💟", " emoji "],
["💠", " emoji "],
["💡", " emoji "],
["💢", " emoji "],
["💣", " emoji "],
["💤", " emoji "],
["💥", " emoji "],
["💦", " emoji "],
["💧", " emoji "],
["💨", " emoji "],
["💩", " emoji "],
["💪", " emoji "],
["💫", " emoji "],
["💬", " emoji "],
["💭", " emoji "],
["💮", " emoji "],
["💯", " emoji "],
["💰", " emoji "],
["💱", " emoji "],
["💲", " emoji "],
["💳", " XEMOJI CREDITCARD "],
["💴", " emoji "],
["💵", " emoji "],
["💶", " emoji "],
["💷", " emoji "],
["💸", " emoji "],
["💹", " emoji "],
["💺", " emoji "],
["💻", " emoji "],
["💼", " emoji "],
["💽", " emoji "],
["💾", " emoji "],
["💿", " emoji "],
["📀", " emoji "],
["📁", " emoji "],
["📂", " emoji "],
["📃", " emoji "],
["📄", " emoji "],
["📅", " emoji "],
["📆", " emoji "],
["📇", " emoji "],
["📈", " emoji "],
["📉", " emoji "],
["📊", " emoji "],
["📋", " emoji "],
["📌", " emoji "],
["📍", " emoji "],
["📎", " emoji "],
["📏", " emoji "],
["📐", " emoji "],
["📑", " emoji "],
["📒", " emoji "],
["📓", " emoji "],
["📔", " emoji "],
["📕", " emoji "],
["📖", " emoji "],
["📗", " emoji "],
["📘", " emoji "],
["📙", " emoji "],
["📚", " emoji "],
["📛", " emoji "],
["📜", " emoji "],
["📝", " emoji "],
["📞", " emoji "],
["📟", " emoji "],
["📠", " emoji "],
["📡", " emoji "],
["📢", " emoji "],
["📣", " emoji "],
["📤", " emoji "],
["📥", " emoji "],
["📦", " emoji "],
["📧", " emoji "],
["📨", " emoji "],
["📩", " emoji "],
["📪", " emoji "],
["📫", " emoji "],
["📬", " emoji "],
["📭", " emoji "],
["📮", " emoji "],
["📯", " emoji "],
["📰", " emoji "],
["📱", " emoji "],
["📲", " emoji "],
["📳", " emoji "],
["📴", " emoji "],
["📵", " emoji "],
["📶", " emoji "],
["📷", " emoji "],
["📸", " emoji "],
["📹", " emoji "],
["📺", " emoji "],
["📻", " emoji "],
["📼", " emoji "],
["📽", " emoji "],
["📾", " emoji "],
["📿", " emoji "],
["🔀", " emoji "],
["🔁", " emoji "],
["🔂", " emoji "],
["🔃", " emoji "],
["🔄", " emoji "],
["🔅", " emoji "],
["🔆", " emoji "],
["🔇", " emoji "],
["🔈", " emoji "],
["🔉", " emoji "],
["🔊", " emoji "],
["🔋", " emoji "],
["🔌", " emoji "],
["🔍", " emoji "],
["🔎", " emoji "],
["🔏", " emoji "],
["🔐", " emoji "],
["🔑", " emoji "],
["🔒", " emoji "],
["🔓", " emoji "],
["🔔", " emoji "],
["🔕", " emoji "],
["🔖", " emoji "],
["🔗", " emoji "],
["🔘", " emoji "],
["🔙", " emoji "],
["🔚", " emoji "],
["🔛", " emoji "],
["🔜", " emoji "],
["🔝", " emoji "],
["🔞", " emoji "],
["🔟", " 10 "],
["🔠", " emoji "],
["🔡", " emoji "],
["🔢", " emoji "],
["🔣", " emoji "],
["🔤", " emoji "],
["🔥", " emoji "],
["🔦", " emoji "],
["🔧", " emoji "],
["🔨", " emoji "],
["🔩", " emoji "],
["🔪", " emoji "],
["🔫", " emoji "],
["🔬", " emoji "],
["🔭", " emoji "],
["🔮", " emoji "],
["🔯", " emoji "],
["🔰", " emoji "],
["🔱", " emoji "],
["🔲", " emoji "],
["🔳", " emoji "],
["🔴", " emoji "],
["🔵", " emoji "],
["🔶", " emoji "],
["🔷", " emoji "],
["🔸", " emoji "],
["🔹", " emoji "],
["🔺", " emoji "],
["🔻", " emoji "],
["🔼", " emoji "],
["🔽", " emoji "],
["🕉", " emoji "],
["🕊", " emoji "],
["🕋", " emoji "],
["🕌", " emoji "],
["🕍", " emoji "],
["🕎", " emoji "],
["🕐", " emoji "],
["🕑", " emoji "],
["🕒", " emoji "],
["🕓", " emoji "],
["🕔", " emoji "],
["🕕", " emoji "],
["🕖", " emoji "],
["🕗", " emoji "],
["🕘", " emoji "],
["🕙", " emoji "],
["🕚", " emoji "],
["🕛", " emoji "],
["🕜", " emoji "],
["🕝", " emoji "],
["🕞", " emoji "],
["🕟", " emoji "],
["🕠", " emoji "],
["🕡", " emoji "],
["🕢", " emoji "],
["🕣", " emoji "],
["🕤", " emoji "],
["🕥", " emoji "],
["🕦", " emoji "],
["🕧", " emoji "],
["🕯", " emoji "],
["🕰", " emoji "],
["🕳", " emoji "],
["🕴", " emoji "],
["🕵", " emoji "],
["🕶", " emoji "],
["🕷", " emoji "],
["🕸", " emoji "],
["🕹", " emoji "],
["🖇", " emoji "],
["🖊", " emoji "],
["🖋", " emoji "],
["🖌", " emoji "],
["🖍", " emoji "],
["🖐", " emoji "],
["🖕", " emoji "],
["🖖", " emoji "],
["🖥", " emoji "],
["🖨", " emoji "],
["🖨", " emoji "],
["🖱", " emoji "],
["🖲", " emoji "],
["🖼", " emoji "],
["🗂", " emoji "],
["🗃", " emoji "],
["🗄", " emoji "],
["🗑", " emoji "],
["🗒", " emoji "],
["🗓", " emoji "],
["🗜", " emoji "],
["🗝", " emoji "],
["🗞", " emoji "],
["🗡", " emoji "],
["🗣", " emoji "],
["🗨", " emoji "],
["🗯", " emoji "],
["🗳", " emoji "],
["🗺", " emoji "],
["🗻", " emoji "],
["🗼", " emoji "],
["🗽", " emoji "],
["🗾", " emoji "],
["🗿", " emoji "],
["🤐", " emoji "],
["🤑", " emoji "],
["🤒", " emoji "],
["🤓", " emoji "],
["🤔", " XEMOJI THINKINGFACE"],
["🤕", " emoji "],
["🤖", " emoji "],
["🤗", " emoji "],
["🤘", " emoji "],
["🦀", " emoji "],
["🦁", " emoji "],
["🦂", " emoji "],
["🦃", " emoji "],
["🦄", " emoji "],
["🧀", " emoji "],
["😍", " XEMOJI HEARTEYES "],
["😀", " XEMOJI SMILE "],
["😁", " XEMOJI SMILE "],
["😂", " XEMOJI SMILE "],
["😃", " XEMOJI SMILE "],
["😄", " XEMOJI SMILE "],
["😅", " XEMOJI SMILE "],
["😆", " XEMOJI SMILE "],
["😇", " emoji "],
["😈", " emoji "],
["😉", " emoji "],
["😊", " emoji "],
["😋", " emoji "],
["😌", " emoji "],
["😎", " emoji "],
["😏", " emoji "],
["😐", " emoji "],
["😑", " emoji "],
["😒", " emoji "],
["😓", " emoji "],
["😔", " emoji "],
["😕", " emoji "],
["😖", " emoji "],
["😗", " XEMOJI KISS "],
["😘", " XEMOJI KISS "],
["😙", " XEMOJI KISS "],
["😚", " XEMOJI KISS "],
["😛", " XEMOJI SMILE "],
["😜", " XEMOJI SMILE "],
["😝", " XEMOJI SMILE "],
["😞", " XEMOJI FROWN "],
["😟", " XEMOJI FROWN "],
["😠", " XEMOJI FROWN "],
["😡", " XEMOJI FROWN "],
["😢", " XEMOJI FROWN "],
["😣", " XEMOJI FROWN "],
["😤", " XEMOJI FROWN "],
["😥", " XEMOJI FROWN "],
["😦", " XEMOJI FROWN "],
["😧", " XEMOJI FROWN "],
["😨", " XEMOJI FROWN "],
["😩", " XEMOJI FROWN "],
["😪", " XEMOJI FROWN "],
["😫", " XEMOJI FROWN "],
["😬", " XEMOJI FROWN "],
["😭", " XEMOJI FROWN "],
["😮", " XEMOJI FROWN "],
["😯", " XEMOJI FROWN "],
["😰", " XEMOJI FROWN "],
["😱", " emoji "],
["😲", " emoji "],
["😳", " emoji "],
["😴", " emoji "],
["😵", " emoji "],
["😶", " emoji "],
["😷", " emoji "],
["😸", " emoji "],
["😹", " emoji "],
["😺", " emoji "],
["😻", " emoji "],
["😼", " emoji "],
["😽", " emoji "],
["😾", " emoji "],
["😿", " emoji "],
["🙀", " emoji "],
["🙁", " XEMOJI FROWN "],
["🙂", " XEMOJI SMILE "],
["🙃", " emoji "],
["🙄", " emoji "],
["🙅", " emoji "],
["🙆", " emoji "],
["🙇", " emoji "],
["🙈", " emoji "],
["🙉", " emoji "],
["🙊", " emoji "],
["🙋", " emoji "],
["🙌", " emoji "],
["🙍", " emoji "],
["🙎", " emoji "],
["🙏", " emoji "],
["🚀", " emoji "],
["🚁", " emoji "],
["🚂", " emoji "],
["🚃", " emoji "],
["🚄", " emoji "],
["🚅", " emoji "],
["🚆", " emoji "],
["🚇", " emoji "],
["🚈", " emoji "],
["🚉", " emoji "],
["🚊", " emoji "],
["🚋", " emoji "],
["🚌", " emoji "],
["🚍", " emoji "],
["🚎", " emoji "],
["🚏", " emoji "],
["🚐", " emoji "],
["🚑", " emoji "],
["🚒", " emoji "],
["🚓", " emoji "],
["🚔", " emoji "],
["🚕", " emoji "],
["🚖", " emoji "],
["🚗", " emoji "],
["🚘", " emoji "],
["🚙", " emoji "],
["🚚", " emoji "],
["🚛", " emoji "],
["🚜", " emoji "],
["🚝", " emoji "],
["🚞", " emoji "],
["🚟", " emoji "],
["🚠", " emoji "],
["🚡", " emoji "],
["🚢", " emoji "],
["🚣", " emoji "],
["🚤", " emoji "],
["🚥", " emoji "],
["🚦", " emoji "],
["🚧", " emoji "],
["🚨", " emoji "],
["🚩", " emoji "],
["🚪", " emoji "],
["🚫", " emoji "],
["🚬", " emoji "],
["🚭", " emoji "],
["🚮", " emoji "],
["🚯", " emoji "],
["🚰", " emoji "],
["🚱", " emoji "],
["🚲", " emoji "],
["🚳", " emoji "],
["🚴", " emoji "],
["🚵", " emoji "],
["🚶", " emoji "],
["🚷", " emoji "],
["🚸", " emoji "],
["🚹", " emoji "],
["🚺", " emoji "],
["🚻", " emoji "],
["🚼", " emoji "],
["🚽", " emoji "],
["🚾", " emoji "],
["🚿", " emoji "],
["🛀", " emoji "],
["🛁", " emoji "],
["🛂", " emoji "],
["🛃", " emoji "],
["🛄", " emoji "],
["🛅", " emoji "],
["🛋", " emoji "],
["🛌", " emoji "],
["🛍", " emoji "],
["🛎", " emoji "],
["🛏", " emoji "],
["🛐", " emoji "],
["🛠", " emoji "],
["🛡", " emoji "],
["🛢", " emoji "],
["🛣", " emoji "],
["🛤", " emoji "],
["🛥", " emoji "],
["🛩", " emoji "],
